Type,Model,RMSE,MAE,R2,Train_time_s
Baseline,MLR,122.46171137283105,74.18779276348097,0.16696726577657395,0
Baseline,SVR,116.98600333482847,63.23181942833241,0.23979761611236494,20.3
Baseline,Decision Tree,120.60085577711816,70.60934568790249,0.19209146173482838,0
Ensemble,Stacking,113.40508383098398,63.55938410102314,0.2856246397260058,51.7
Ensemble,Random Forest,112.56060949182498,68.22838847589638,0.29622426189054496,1
Ensemble,XGBoost,110.8178095527181,65.61432647705078,0.31784892082214355,0.4
